City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp
Misratah,32.38,15.09,68,8,13.25,LY,1607901459,61.952
George Town,5.41,100.34,94,20,1.0,MY,1607901270,78.8
Teya,60.38,92.63,90,100,2.31,RU,1607901459,1.328000000000003
Clyde River,70.47,-68.59,76,90,4.1,CA,1607901459,-4.0
Vaini,-21.2,-175.2,79,20,6.7,TO,1607901459,84.2
Nikolskoye,59.7,30.79,85,90,1.0,RU,1607901459,24.998
Port Hardy,50.7,-127.42,87,75,7.2,CA,1607901460,44.6
Ketchikan,55.34,-131.65,56,90,6.2,US,1607901224,42.8
Lagdo,9.05,13.73,38,0,1.5,CM,1607901460,77.0
Dikson,73.51,80.55,91,100,6.6,RU,1607901460,-3.3160000000000025
Palmer,42.16,-72.33,61,75,5.1,US,1607901460,50.0
Mar del Plata,-38.0,-57.56,37,0,3.1,AR,1607901255,66.2
Thompson,55.74,-97.86,75,5,2.6,CA,1607901460,-16.6
Taoudenni,22.68,-3.98,24,62,4.66,ML,1607901461,69.188
College,64.86,-147.8,77,75,3.6,US,1607901461,6.800000000000001
Pimenta Bueno,-11.67,-61.19,69,99,0.64,BR,1607901255,80.24000000000001
Sergeevka,53.88,67.42,95,11,4.07,KZ,1607901461,7.6640000000000015
Yellowknife,62.46,-114.35,67,20,3.1,CA,1607901306,-25.006000000000007
Hamilton,39.18,-84.53,70,90,2.6,US,1607901306,42.998000000000005
Katsuura,35.13,140.3,54,75,10.3,JP,1607901461,57.2
Killybegs,54.63,-8.45,93,97,4.02,IE,1607901461,48.002
Sembakung,3.82,117.25,93,80,0.9,ID,1607901462,74.462
Daşoguz,41.84,59.97,92,0,1.0,TM,1607901462,6.800000000000001
Caldwell,43.66,-116.69,92,90,5.7,US,1607901462,30.992
Cruz das Almas,-12.67,-39.1,85,36,2.85,BR,1607901462,70.97
Jamestown,42.1,-79.24,92,90,2.6,US,1607901462,33.008
Bollnäs,61.35,16.39,98,80,0.81,SE,1607901462,35.996
Chadan,51.28,91.58,84,100,0.03,RU,1607901462,-3.3519999999999968
Tokur,53.13,132.9,87,100,1.35,RU,1607901463,-20.919999999999995
Yangi Marg`ilon,40.43,71.72,80,90,1.0,UZ,1607901463,30.2
Eureka,40.8,-124.16,95,99,2.24,US,1607901463,51.008
Broome,42.25,-75.83,80,1,3.1,US,1607901463,39.002
Betsiamites,48.94,-68.65,92,90,9.8,CA,1607901463,33.8
Ferkessédougou,9.6,-5.2,40,4,0.96,CI,1607901464,79.322
Kutum,14.2,24.67,26,100,2.11,SD,1607901464,64.31
Ostrovnoy,68.05,39.51,97,93,2.36,RU,1607901464,24.296
Peniche,39.36,-9.38,92,100,3.58,PT,1607901464,60.998000000000005
East London,-33.02,27.91,84,56,5.37,ZA,1607901464,70.232
Kavieng,-2.57,150.8,73,33,4.63,PG,1607901464,84.884
Soyo,-6.13,12.37,81,36,3.49,AO,1607901464,76.946
Olinda,-8.01,-34.86,69,40,5.1,BR,1607901465,78.8
Maţāy,28.42,30.78,25,0,5.7,EG,1607901465,68.108
Ribeira Grande,38.52,-28.7,68,56,10.03,PT,1607901465,57.632
Hobart,-42.88,147.33,43,0,6.7,AU,1607901186,77.0
Qasigiannguit,68.82,-51.19,73,100,3.6,GL,1607901465,24.8
Clovis,36.83,-119.7,76,90,4.1,US,1607901432,51.998
Roshchino,60.25,29.61,79,100,1.82,RU,1607901465,26.006
Pevek,69.7,170.31,91,100,0.96,RU,1607901465,6.871999999999996
Provideniya,64.38,-173.3,85,90,10.0,RU,1607901466,19.4
Meulaboh,4.14,96.13,85,99,1.85,ID,1607901466,76.676
Quatre Cocos,-20.21,57.76,94,75,6.2,MU,1607901466,75.2
Upernavik,72.79,-56.15,98,100,0.69,GL,1607901466,24.512
Sørland,67.67,12.69,74,20,5.24,NO,1607901466,39.002
Zeya,53.75,127.27,78,87,2.05,RU,1607901336,-13.630000000000003
Alexandria,31.22,29.96,72,40,6.2,EG,1607901467,64.4
Ilulissat,69.22,-51.1,73,100,3.6,GL,1607901467,24.8
San Angelo,31.46,-100.44,56,90,9.8,US,1607901467,42.8
Along,28.17,94.77,87,79,0.85,IN,1607901435,55.364000000000004
Emerald,-23.53,148.17,47,16,5.7,AU,1607901467,82.004
Saint George,37.1,-113.58,32,1,2.31,US,1607901202,46.004
Ancud,-41.87,-73.82,81,90,6.7,CL,1607901468,53.006
Roald,62.58,6.13,69,0,2.6,NO,1607901468,39.2
Río Gallegos,-51.62,-69.22,40,40,2.1,AR,1607901468,53.6
Bambanglipuro,-7.95,110.28,89,100,1.6,ID,1607901468,75.974
Saldanha,-33.01,17.94,76,71,1.0,ZA,1607901468,55.4
Batagay-Alyta,67.8,130.41,67,0,0.72,RU,1607901202,-33.97
Marawi,8.0,124.29,87,2,2.24,PH,1607901468,75.002
Kisangani,0.52,25.2,96,89,0.86,CD,1607901469,70.664
Hithadhoo,-0.6,73.08,77,58,7.04,MV,1607901469,82.274
Ikom,5.97,8.71,86,95,0.83,NG,1607901469,76.28
San Patricio,28.02,-97.52,61,75,11.8,US,1607901469,77.0
Kosh-Agach,50.0,88.67,77,57,0.64,RU,1607901469,-17.302
Oodweyne,9.41,45.06,31,0,5.67,SO,1607901470,63.716
Chui,-33.7,-53.46,68,100,4.39,UY,1607901470,65.57
Faanui,-16.48,-151.75,73,3,5.15,PF,1607901470,80.20400000000001
Bilma,18.69,12.92,22,0,5.14,NE,1607901470,71.168
Severo-Kuril'sk,50.68,156.12,90,100,20.16,RU,1607901470,35.42
Hambantota,6.12,81.12,82,100,5.6,LK,1607901470,75.092
Davila,18.47,120.58,94,20,1.0,PH,1607901471,75.2
Fortuna,40.6,-124.16,89,99,1.34,US,1607901471,53.006
Cabo San Lucas,22.89,-109.91,60,5,4.1,MX,1607901386,78.008
Saint-Joseph,-21.37,55.62,88,75,7.7,RE,1607901471,73.4
Sistranda,63.73,8.83,86,0,5.1,NO,1607901234,33.8
Kayes,14.0,-11.0,19,100,2.45,ML,1607901471,77.95400000000001
San Quintín,30.48,-115.95,58,0,1.98,MX,1607901471,64.598
Bambous Virieux,-20.34,57.76,94,75,6.2,MU,1607901472,75.2
Manadhoo,5.77,73.38,71,91,3.21,MV,1607901472,82.112
Nuuk,64.18,-51.72,67,100,4.1,GL,1607901472,17.6
Antofagasta,-23.65,-70.4,68,20,6.2,CL,1607901472,66.2
Esperance,-33.87,121.9,63,40,7.7,AU,1607901265,62.6
Tiksi,71.69,128.87,82,26,1.71,RU,1607901472,-28.677999999999997
São Filipe,14.9,-24.5,74,22,3.3,CV,1607901472,75.29
Beisfjord,68.38,17.6,64,49,8.7,NO,1607901473,37.4
Vanimo,-2.67,141.3,80,99,1.95,PG,1607901473,81.77
Mossamedes,-15.2,12.15,81,44,1.56,AO,1607901473,65.678
Cairns,-16.92,145.77,69,90,0.5,AU,1607901417,84.002
Hervey Bay,-25.3,152.85,94,81,1.34,AU,1607901473,73.004
Gudivāda,16.45,80.98,79,0,1.27,IN,1607901370,69.224
Udalguri,26.77,92.13,77,44,1.94,IN,1607901473,61.934
Hobyo,5.35,48.53,76,27,8.84,SO,1607901474,78.152
Lagoa,39.05,-27.98,63,27,11.67,PT,1607901474,57.668
Krasnoural'sk,58.36,60.04,90,47,6.14,RU,1607901474,10.796
Nanortalik,60.14,-45.24,97,100,4.93,GL,1607901474,30.848
Lázaro Cárdenas,17.96,-102.2,69,0,2.4,MX,1607901474,80.78
Bengkulu,-3.8,102.27,84,100,0.95,ID,1607901474,74.498
Harper,4.38,-7.72,85,31,2.61,LR,1607901474,78.566
Touros,-5.2,-35.46,83,20,4.1,BR,1607901475,78.8
The Valley,18.22,-63.06,83,20,2.6,AI,1607901475,78.8
Bereda,43.27,-7.54,100,99,5.81,ES,1607901475,55.994
Oktyabr'skiy,54.48,53.47,91,87,1.94,RU,1607901475,6.115999999999996
Hong Kong,22.29,114.16,80,86,0.45,HK,1607901366,69.998
Boca do Acre,-8.75,-67.4,69,73,1.19,BR,1607901475,81.914
Port Hedland,-20.32,118.57,74,36,2.1,AU,1607901476,78.8
Codrington,-38.27,141.97,40,20,6.68,AU,1607901476,79.178
Torbay,47.67,-52.73,100,90,7.7,CA,1607901476,28.994
Novaya Lyalya,59.05,60.6,85,77,4.83,RU,1607901476,18.625999999999998
Carnarvon,-24.87,113.63,63,1,7.7,AU,1607901476,66.2
Vila Franca do Campo,37.72,-25.43,71,40,6.2,PT,1607901476,55.4
Flin Flon,54.77,-101.86,69,5,2.6,CA,1607901476,-7.600000000000001
Can Tho,10.03,105.78,100,20,0.5,VN,1607901304,75.2
Laas,46.62,10.7,92,5,2.6,IT,1607901477,30.992
Vagay,57.94,69.02,95,95,3.93,RU,1607901477,15.421999999999997
Takoradze,4.88,-1.76,85,100,3.24,GH,1607901477,79.25
Isla Vista,34.41,-119.86,36,75,5.7,US,1607901477,64.4
Ayan,56.45,138.17,92,100,11.35,RU,1607901477,-10.93
Ponta do Sol,32.67,-17.1,82,20,0.5,PT,1607901478,62.6
Necochea,-38.55,-58.74,72,0,2.74,AR,1607901478,60.007999999999996
Tucumcari,35.17,-103.72,51,1,2.6,US,1607901478,37.4
Arlit,18.74,7.39,15,0,3.4,NE,1607901479,73.346
Dukat,62.55,155.55,83,100,2.2,RU,1607901479,-28.875999999999998
Makkah al Mukarramah,21.43,39.83,59,0,0.91,SA,1607901479,72.932
Constitución,-35.33,-72.42,51,2,8.26,CL,1607901479,63.878
Hearst,49.68,-83.67,84,42,1.0,CA,1607901479,8.600000000000001
Sitka,57.05,-135.33,45,75,9.8,US,1607901479,44.6
Mayo,38.89,-76.51,66,1,3.1,US,1607901479,55.004
Otradnoye,59.78,30.82,85,90,1.0,RU,1607901480,24.998
Longhua,23.61,114.19,84,96,2.41,CN,1607901480,57.416
Bantou,26.22,117.49,84,100,1.7,CN,1607901480,52.304
Beira,-19.84,34.84,88,20,2.1,MZ,1607901480,80.006
Lavrentiya,65.58,-171.0,83,100,16.48,RU,1607901480,15.728000000000002
Kropotkin,45.44,40.58,80,84,6.75,RU,1607901480,40.766
Gemeente Wageningen,51.97,5.67,87,90,6.2,NL,1607901480,44.006
Berlevåg,70.86,29.09,92,75,4.1,NO,1607901481,32.0
Krasnosel'kup,65.7,82.47,95,100,4.94,RU,1607901481,7.25
Trofors,65.53,13.41,93,95,6.2,NO,1607901481,42.007999999999996
Margate,51.38,1.39,92,100,2.68,GB,1607901481,53.006
Nantucket,41.28,-70.1,87,1,4.6,US,1607901482,51.998
Kieta,-6.22,155.63,65,91,1.8,PG,1607901482,85.784
Bozoum,6.32,16.38,29,1,0.78,CF,1607901482,73.328
Nsanje,-16.92,35.26,92,81,1.83,MW,1607901482,74.89399999999999
Port Elizabeth,-33.92,25.57,93,0,1.5,ZA,1607901483,66.2
Cockburn Town,21.46,-71.14,74,40,4.1,TC,1607901483,78.8
Beloha,-25.17,45.05,61,0,5.42,MG,1607901483,73.472
Ndendé,-2.4,11.36,96,100,1.31,GA,1607901483,73.652
Ubari,26.59,12.78,46,0,3.1,LY,1607901483,51.116
Hofn,64.25,-15.21,86,100,14.1,IS,1607901483,40.135999999999996
Gonder,12.6,37.47,37,0,1.88,ET,1607901484,56.552
Kiryat Gat,31.61,34.76,55,0,1.5,IL,1607901424,73.994
Valdivia,-39.81,-73.25,51,20,5.1,CL,1607901299,60.8
Pacific Grove,36.62,-121.92,82,90,3.1,US,1607901263,59.0
Wanning,18.8,110.4,91,92,3.21,CN,1607901484,73.31
Kamenka,51.32,42.77,94,90,5.38,RU,1607901484,16.628000000000004
Mount Isa,-20.73,139.5,51,100,5.1,AU,1607901484,84.2
Artyom,40.47,50.33,70,0,5.1,AZ,1607901485,46.4
Severobaykal'sk,55.65,109.32,80,32,2.13,RU,1607901485,-9.561999999999998
Srednekolymsk,67.45,153.68,86,100,3.35,RU,1607901485,-22.88199999999999
Pouébo,-20.4,164.57,77,84,7.8,NC,1607901485,80.654
Brookhaven,31.58,-90.44,97,98,5.35,US,1607901485,64.004
Great Yarmouth,52.61,1.73,87,100,5.1,GB,1607901485,51.8
Omsukchan,62.53,155.8,82,100,2.3,RU,1607901486,-23.854
Sobolevo,54.43,31.9,99,100,3.68,RU,1607901486,29.552
Santhià,45.37,8.17,80,0,0.61,IT,1607901486,41.0
Arrondissement de Mende,44.67,3.5,94,100,1.03,FR,1607901486,37.112
San Jose,37.34,-121.89,72,75,3.1,US,1607901447,60.998000000000005
Honiara,-9.43,159.95,70,40,1.0,SB,1607901482,87.8
Kargil,34.57,76.1,59,0,1.32,IN,1607901486,5.684000000000005
Talnakh,69.49,88.4,75,99,3.0,RU,1607901487,-13.0
Suntar,62.14,117.63,83,99,3.12,RU,1607901487,-22.486000000000004
Novo Aripuanã,-5.12,-60.38,89,99,0.33,BR,1607901487,77.432
Myitkyina,25.38,97.4,77,49,0.88,MM,1607901487,60.584
Port Blair,11.67,92.75,77,68,3.43,IN,1607901312,77.14399999999999
Røros,62.57,11.38,97,74,4.1,NO,1607901487,32.0
Marquette,46.53,-87.63,78,100,3.01,US,1607901450,24.008
Drayton Valley,53.22,-114.99,90,7,3.83,CA,1607901488,-0.6340000000000003
Tuktoyaktuk,69.45,-133.04,76,75,5.1,CA,1607901488,-4.0
Aklavik,68.22,-135.01,73,13,2.6,CA,1607901488,-29.200000000000003
Turbat,26.0,63.04,33,0,5.18,PK,1607901488,60.674
Bulawayo,-20.15,28.58,82,100,3.78,ZW,1607901488,67.766
Camacha,33.08,-16.33,93,40,3.6,PT,1607901489,60.8
Kemijärvi,66.71,27.43,98,100,0.46,FI,1607901489,26.132
Oddur,4.12,43.89,45,0,5.06,SO,1607901489,69.206
Russell,32.35,-85.2,88,90,1.85,US,1607901489,64.4
Fasa,28.94,53.65,86,0,0.4,IR,1607901489,37.4
Avera,33.19,-82.53,91,90,1.83,US,1607901489,64.4
Mula,38.04,-1.49,72,100,0.25,ES,1607901489,53.996
Sanchazi,42.08,126.6,82,89,4.65,CN,1607901490,0.6439999999999948
Te Anau,-45.42,167.72,50,15,0.95,NZ,1607901490,60.962
Pinar del Río,22.42,-83.7,82,18,2.94,CU,1607901490,73.724
Vila Velha,-20.33,-40.29,78,0,5.1,BR,1607901490,77.0
Saint Paul Harbor,57.79,-152.41,93,90,8.2,US,1607901490,42.8
North Bend,43.41,-124.22,93,90,4.6,US,1607901193,50.0
Saurimo,-9.66,20.39,98,100,1.74,AO,1607901490,62.762
Saint Anthony,45.02,-93.22,79,90,4.1,US,1607901490,26.996000000000002
Padang,-0.95,100.35,69,100,1.53,ID,1607901491,76.982
São José da Coroa Grande,-8.9,-35.15,76,63,4.59,BR,1607901491,78.69200000000001
Isangel,-19.55,169.27,74,75,5.1,VU,1607901491,86.0
Bhatkal,13.97,74.57,65,0,1.78,IN,1607901491,75.362
Yenagoa,4.92,6.26,93,98,1.63,NG,1607901491,76.28
Corrente,-3.74,-43.34,83,69,1.27,BR,1607901491,75.452
Longyearbyen,78.22,15.64,67,75,1.0,SJ,1607901491,19.4
Mookane,-23.69,26.66,60,62,4.05,BW,1607901492,74.75
Lichinga,-13.31,35.24,86,97,1.93,MZ,1607901492,64.256
Urusha,54.05,122.9,81,100,1.94,RU,1607901492,-20.703999999999994
Bandarbeyla,9.49,50.81,68,0,7.37,SO,1607901492,72.896
Lock Haven,41.14,-77.45,76,99,2.24,US,1607901420,44.006
Wuwei,37.93,102.64,63,9,0.56,CN,1607901492,15.008000000000003
Guánica,17.97,-66.91,80,22,1.5,PR,1607901492,80.006
Hualmay,-11.1,-77.61,78,50,4.48,PE,1607901492,69.188
Ninghai,29.29,121.42,93,100,1.34,CN,1607901392,42.998000000000005
Fort Nelson,58.81,-122.7,75,75,1.0,CA,1607901306,-14.799999999999997
Karakol,42.49,78.39,80,32,2.03,KG,1607901493,16.592
Labuhan,-6.88,112.21,87,100,3.18,ID,1607901493,77.0
Amapá,1.0,-52.0,68,34,1.84,BR,1607901493,78.854
Dingle,11.0,122.67,90,59,2.81,PH,1607901493,77.126
Neepawa,50.23,-99.47,71,75,7.7,CA,1607901234,8.600000000000001
Paso de los Toros,-32.82,-56.52,49,100,6.2,UY,1607901494,65.55199999999999
Kommunisticheskiy,61.68,64.48,93,88,3.66,RU,1607901494,16.970000000000002
Coquimbo,-29.95,-71.34,77,20,5.7,CL,1607901294,62.6
Bintulu,3.17,113.03,100,40,1.5,MY,1607901331,75.2
Eucaliptus,-17.58,-67.52,27,4,1.21,BO,1607901494,63.95
Çorum Province,40.5,34.75,81,89,1.82,TR,1607901494,41.306
Tuy Hoa,13.08,109.3,91,85,1.42,VN,1607901494,73.75999999999999
Sinnamary,5.38,-52.95,86,1,3.62,GF,1607901495,78.25999999999999
La Ronge,55.1,-105.28,69,0,2.1,CA,1607901495,-7.600000000000001
Poum,-20.23,164.02,80,56,11.57,NC,1607901495,81.30199999999999
Kedrovyy,56.17,91.82,78,40,6.0,RU,1607901495,14.0
Chara,56.91,118.26,70,7,0.12,RU,1607901495,-35.122
Paphos,34.77,32.42,63,20,7.2,CY,1607901440,64.4
Charleston,32.78,-79.93,100,90,2.6,US,1607901339,62.00600000000001
Beni Mazar,28.5,30.8,25,0,5.71,EG,1607901423,68.27
Ulladulla,-35.35,150.47,100,75,3.1,AU,1607901496,69.998
Vernon,50.26,-119.27,92,99,1.5,CA,1607901305,33.008
Waseca,44.08,-93.51,79,90,4.1,US,1607901496,26.6
Salalah,17.02,54.09,30,0,3.6,OM,1607901496,71.6
Mehamn,71.04,27.85,80,75,1.5,NO,1607901496,30.2
Ampanihy,-24.7,44.75,54,0,3.61,MG,1607901496,75.74000000000001
Laje,-10.18,-40.97,47,24,2.24,BR,1607901497,73.166
Egvekinot,66.32,-179.17,92,100,7.25,RU,1607901245,10.868000000000002
Tonaya,19.78,-103.97,65,20,5.1,MX,1607901497,80.6
Ilo,-17.64,-71.34,76,44,2.44,PE,1607901497,68.594
Souillac,-20.52,57.52,94,75,6.2,MU,1607901497,75.2
Haines Junction,60.75,-137.51,84,100,1.04,CA,1607901497,5.0
Dorado,18.46,-66.27,78,40,4.6,PR,1607901497,80.6
Arrifes,37.77,-25.7,71,40,6.2,PT,1607901498,55.4
Pryluky,50.59,32.39,97,100,4.64,UA,1607901498,32.414
Wainwright,52.84,-110.86,76,0,2.1,CA,1607901498,-5.799999999999997
Norman Wells,65.28,-126.83,65,20,2.1,CA,1607901498,-38.2
Golden,39.76,-105.22,63,40,3.6,US,1607901364,35.006
Tunceli,39.11,39.55,87,90,5.7,TR,1607901498,46.4
Straumen,63.87,11.3,92,0,4.1,NO,1607901498,37.004
Bratsk,56.13,101.61,84,100,2.0,RU,1607901499,-0.0040000000000048885
Strezhevoy,60.73,77.59,92,0,4.0,RU,1607901500,8.600000000000001
Baft,29.23,56.61,79,0,1.25,IR,1607901500,35.006
Koupéla,12.18,-0.35,21,0,2.44,BF,1607901500,74.354
La Sarre,48.8,-79.2,94,97,3.11,CA,1607901500,8.131999999999998
Rosenheim,47.86,12.12,96,49,1.65,DE,1607901500,37.004
Gamba,-2.65,10.0,86,100,2.09,GA,1607901500,77.288
Alfatar,43.95,27.28,86,100,0.45,BG,1607901501,42.998000000000005
Ahipara,-35.17,173.17,55,44,1.21,NZ,1607901246,69.026
Sharjah city,25.36,55.4,68,0,1.5,AE,1607901376,69.8
Buñol,39.42,-0.78,87,0,2.1,ES,1607901501,53.996
Redlands,34.06,-117.18,12,75,0.98,US,1607901442,69.8
Sabha,27.04,14.43,51,0,2.81,LY,1607901501,50.936
Korla,41.76,86.15,86,0,1.3,CN,1607901501,17.834
Caraballeda,10.61,-66.85,83,75,1.0,VE,1607901501,80.6
Vikindu,-7.01,39.3,88,4,2.33,TZ,1607901502,74.732
Coos Bay,43.37,-124.22,93,90,4.6,US,1607901502,48.2
Rincón de la Victoria,36.72,-4.28,87,0,1.0,ES,1607901502,60.007999999999996
Tabas,33.6,56.92,62,0,1.0,IR,1607901502,32.0
Tual,-5.67,132.75,76,100,4.99,ID,1607901502,83.19200000000001
Samarai,-10.62,150.67,70,98,3.81,PG,1607901502,83.372
Beyneu,45.32,55.2,94,25,5.38,KZ,1607901502,22.694
Garoowe,8.41,48.48,68,10,3.52,SO,1607901503,66.27199999999999
Yumen,40.28,97.2,86,62,0.62,CN,1607901503,8.114
Manbij,36.53,37.95,93,75,4.1,SY,1607901503,46.4
Adrar,20.5,-10.07,28,95,2.43,MR,1607901503,63.392
Viedma,-40.81,-63.0,42,47,2.11,AR,1607901503,64.994
Waipawa,-41.41,175.52,76,74,6.2,NZ,1607901504,60.007999999999996
Bada,51.39,109.87,86,96,1.7,RU,1607901504,-10.156000000000006
Naze,28.37,129.48,72,75,3.1,JP,1607901504,66.2
Rome,43.21,-75.46,64,90,7.2,US,1607901504,37.4
Rochester,43.15,-77.62,69,90,4.6,US,1607901504,37.004
Estelle,29.85,-90.11,94,75,4.1,US,1607901504,71.996
Gornopravdinsk,60.05,69.9,96,100,3.63,RU,1607901504,16.79
Rheine,52.28,7.45,81,0,3.6,DE,1607901505,42.8
Hīt,33.64,42.83,53,59,2.22,IQ,1607901493,57.272
Blyth,55.13,-1.51,93,75,4.1,GB,1607901473,48.002
Muzhi,65.37,64.67,94,100,2.34,RU,1607901505,16.628000000000004
Chatrā,24.22,84.87,84,5,1.94,IN,1607901505,59.18
Hay River,60.82,-115.8,68,21,1.5,CA,1607901505,-18.4
Plettenberg Bay,-34.05,23.37,86,0,3.73,ZA,1607901505,65.822
Saint-Augustin,51.23,-58.65,94,100,8.23,CA,1607901506,19.706
Reconquista,-29.15,-59.65,54,52,3.85,AR,1607901506,67.946
Fairbanks,64.84,-147.72,77,75,3.6,US,1607901268,6.800000000000001
Luwuk,-0.95,122.79,69,78,0.73,ID,1607901506,81.554
Truro,50.27,-5.05,87,72,9.8,GB,1607901506,53.6
